CVE-2015-0074 1:3.082800167068277E-4 2:6.096596535378746E-5 3:5.072235111027474E-4 4:8.64117822577354E-5 5:5.4707731831897644E-5 6:4.874181696590375E-5 7:9.12742530614977E-5 8:4.9588861469741646E-5 9:0.0033491124352942664 10:8.41067702750994E-5 11:6.326086552457688E-5 12:4.7259733339544366E-5 13:3.0376871171317374E-4 14:6.738758780426106E-5 15:7.261841184359841E-5 16:0.03297003298790643 17:7.576184251121991E-4 18:8.467199199079568E-5 19:2.7084849963702282E-5 20:9.75787837850174E-5 21:8.868604267614495E-5 22:1.4588504206083065E-4 23:8.597225559088791E-5 24:5.823730649119446E-5 25:9.376181533660693E-5 26:1.7063831071571732E-4 27:6.076034838944341E-5 28:2.8968492757532353E-5 29:7.825065636628635E-5 30:8.135245984402026E-5 31:6.446506552524589E-5 32:9.034325039767921E-5 33:6.770006565391707E-5 34:1.26078824984057E-4 35:1.0207490616671614E-4 36:5.853930044465872E-5 37:1.3273965879483579E-4 38:6.57450748957289E-5 39:8.264143952833663E-5 40:7.370854109828272E-5 41:6.502939826344925E-5 42:1.3512612404158466E-4 43:1.2525674442977362E-4 44:9.816782239198483E-5 45:5.060692070915993E-5 46:8.127374959712604E-5 47:1.5488552444595932E-4 48:1.0363756135835636E-4 49:5.599529052549326E-5 50:6.60185309706211E-5 51:7.509761976921638E-5 52:6.667754113997575E-5 53:6.544229673458442E-5 54:4.474839178822443E-5 55:3.543877661911162E-5 56:5.81803643000841E-4 57:7.073108673941425E-5 58:2.632670100388988E-4 59:8.18278089127403E-5 60:8.518414183820607E-5 61:8.028383561541423E-5 62:7.954622025838025E-5 63:2.6397521026565867E-5 64:5.015392493717291E-5 65:9.769377444658535E-5 66:3.7123076996523933E-5 67:1.636266556476741E-4 68:8.057863533310924E-5 69:6.781252379871957E-5 70:1.2414219557970975E-4 71:8.703832294482215E-5 72:0.9553281280285889 73:7.36941353984933E-5 74:8.159329148694938E-5 75:8.76072477954804E-5 76:8.8073939763625E-5 77:5.743905237436126E-5 78:5.9894425302427614E-5 79:6.691282490115276E-5 80:6.780003346842658E-5
CVE-2015-0014 1:5.256885993337046E-5 2:1.336300067331683E-4 3:8.260724019855858E-5 4:1.065155489594401E-4 5:8.587764098430054E-5 6:6.320892736050492E-5 7:1.1347624416410293E-4 8:6.246373684742882E-5 9:9.726600809463831E-5 10:1.0480992888787339E-4 11:1.1148689311769892E-4 12:5.7483185812988556E-5 13:5.53574679323369E-5 14:0.04027598179227449 15:9.08335014103125E-5 16:7.600119289392827E-5 17:1.0263007002973013E-4 18:1.0555879146844331E-4 19:3.439239162242229E-5 20:1.2055830839177239E-4 21:1.1233061774276372E-4 22:1.936305278810224E-4 23:6.4053860490062E-4 24:7.272684899639881E-5 25:1.1504014925744928E-4 26:2.066078436653223E-4 27:7.623245053781312E-5 28:3.674606247130605E-5 29:2.1430757583846625E-4 30:1.0857960000208948E-4 31:8.075617965476133E-5 32:1.13911719257311E-4 33:0.018177072194179012 34:5.85920493986919E-5 35:1.258742407129273E-4 36:7.24475505350222E-5 37:1.2489622966286597E-4 38:8.458853321853768E-5 39:1.031272774454011E-4 40:8.770116290686228E-5 41:8.117886137027311E-5 42:1.6557159513487792E-4 43:0.005683885649334866 44:1.4331700248251873E-4 45:6.365515634574645E-5 46:1.0131786923318221E-4 47:1.8853139920322625E-4 48:1.2831516364341313E-4 49:3.182057782161372E-4 50:0.10605608727527015 51:9.385932422018112E-5 52:6.831265738309431E-5 53:8.16226766838956E-5 54:7.022016243518869E-5 55:4.48512597928088E-5 56:4.8226511010685266E-5 57:8.887722372243363E-5 58:1.4306117957474124E-4 59:1.0243160793006554E-4 60:7.035501658839238E-5 61:1.0174995699191019E-4 62:9.921524774555803E-5 63:3.3515739944033495E-5 64:6.580288871183836E-5 65:1.4136464053442446E-4 66:4.7007177118137776E-5 67:1.9715482351967593E-4 68:2.3889768083213642E-4 69:8.63305868146802E-5 70:0.8215683173716681 71:1.147747931943819E-4 72:9.673885066009088E-5 73:9.214719762545431E-5 74:1.1159636699860449E-4 75:1.0846874723268081E-4 76:1.0398303768484705E-4 77:7.210197589639448E-5 78:7.418718844418352E-5 79:8.332433734107249E-5 80:8.302286608364137E-5
CVE-2014-9161 1:2.6465355508894015E-6 2:3.458200718104001E-6 3:4.137795687879454E-6 4:5.608174072132661E-6 5:3.2330759945369977E-6 6:7.048688901452064E-5 7:5.731409233919347E-6 8:3.14157705490715E-6 9:1.20710407016327E-4 10:5.2548430076241565E-6 11:3.98047957928911E-6 12:3.2391199539545213E-6 13:5.8526852446630274E-5 14:4.671986793345266E-6 15:4.685301406580447E-6 16:3.6877331296726103E-6 17:-2.760351663360433E-6 18:5.279825204722858E-6 19:1.7371206883984025E-6 20:6.4564922205579974E-6 21:8.891932170420141E-5 22:8.916771303311485E-6 23:-0.0011983543853699725 24:3.6583748344800517E-6 25:5.7669460875949735E-6 26:1.0236861601253241E-5 27:3.8330195006242315E-6 28:1.8581512216794492E-6 29:5.573282772475415E-6 30:1.0083906436983062E-5 31:4.65593014135556E-6 32:5.957088013417606E-6 33:4.412637207569423E-6 34:4.827442664824442E-5 35:7.177768727891056E-6 36:3.7709279396479662E-6 37:1.255146254110132E-4 38:5.211125221371606E-6 39:2.1894802916144366E-6 40:4.393666813987432E-6 41:4.459667925360034E-6 42:8.247148610626056E-6 43:2.7180463420063903E-6 44:6.110539542043439E-6 45:-1.9218145828065714E-4 46:3.7086394494510817E-6 47:9.361740479979229E-6 48:4.759848945778801E-6 49:3.5803490070638466E-6 50:4.7656713805216875E-6 51:4.711425020901155E-6 52:3.1845280918150847E-6 53:4.136073741466419E-6 54:2.698665686822598E-4 55:2.2358490324253154E-6 56:0.8331557028944397 57:4.755311026290151E-6 58:6.7670563750661065E-6 59:-2.1629622907768154E-4 60:3.459696230681632E-6 61:5.2400228082923885E-6 62:3.030499390709838E-6 63:1.6929718486871998E-6 64:2.2495667729389225E-4 65:5.993009075029586E-6 66:2.7492337891495504E-6 67:1.0445624892769456E-5 68:4.01365896066495E-6 69:4.428189284202411E-6 70:7.77055405745015E-6 71:5.791070789615186E-6 72:4.7462700305221905E-4 73:4.625974614775703E-6 74:5.252680948686754E-6 75:7.816100154813108E-6 76:0.16657747150313007 77:7.434855674964218E-5 78:4.967036289076543E-6 79:5.329373104869411E-6 80:9.433499181097171E-6
CVE-2014-8460 1:7.572827876011812E-6 2:1.1206757757734904E-5 3:1.134796039041639E-5 4:3.3637503366153534E-4 5:1.0021500683285228E-5 6:8.554073800299127E-6 7:1.5415048688528995E-5 8:9.966010180763785E-6 9:2.1104249556240368E-5 10:1.422965114914446E-5 11:0.003430550577351416 12:5.844138670806717E-4 13:7.518960020221008E-6 14:1.9732169451325564E-5 15:1.2479998454751475E-5 16:1.1196513051025738E-5 17:1.4437733923570547E-5 18:1.4947783387782764E-5 19:4.665835565864456E-6 20:1.707858277035341E-5 21:1.5898115070611953E-5 22:2.6317749668708105E-5 23:1.5302592876580793E-5 24:1.951037257851905E-5 25:3.396568454461456E-4 26:2.8134093977539287E-5 27:1.0343547820970833E-5 28:1.913118944074585E-5 29:3.9581452995773967E-4 30:2.9677421552222712E-5 31:1.1492771772294872E-5 32:1.5560021071400782E-5 33:8.81294168315221E-4 34:3.62932953594051E-4 35:1.7700214486118194E-5 36:1.0901593133476993E-5 37:1.7234979192868222E-5 38:1.2670677931713954E-5 39:6.366503576712657E-5 40:1.2815530972816232E-5 41:1.1467960563913062E-5 42:2.2529149351386842E-5 43:8.211439564219741E-6 44:1.728952811973106E-5 45:1.3617241613234188E-5 46:1.4132131008802503E-5 47:2.5660112092622817E-5 48:1.8749734131754295E-5 49:3.8244427390034404E-4 50:1.1377511529760886E-5 51:1.2744446206353962E-5 52:1.0227672306661653E-5 53:1.1088532014375814E-5 54:1.9311696970251155E-4 55:6.746026000451657E-6 56:0.9831800596481965 57:1.2237441510678347E-5 58:0.0029615523836091827 59:1.392299960432746E-5 60:9.87941875919984E-6 61:6.320743913398422E-4 62:1.5248367766027874E-5 63:4.538997354822828E-6 64:8.792042339233634E-6 65:1.8610752433039028E-5 66:7.926148697330379E-6 67:2.9525878852447014E-5 68:1.368099554950194E-5 69:1.0422986794489434E-4 70:2.1013140358803102E-5 71:3.1560933559583097E-4 72:0.0031872578162117013 73:1.2510757249604527E-5 74:1.6384844020397132E-5 75:0.001012143673605926 76:7.47050148251301E-4 77:1.075997293443318E-5 78:1.2513840940182968E-5 79:1.2631905978233706E-5 80:1.1572963362543865E-5
CVE-2014-8457 1:7.572827876011812E-6 2:1.1206757757734904E-5 3:1.134796039041639E-5 4:3.3637503366153534E-4 5:1.0021500683285228E-5 6:8.554073800299127E-6 7:1.5415048688528995E-5 8:9.966010180763785E-6 9:2.1104249556240368E-5 10:1.422965114914446E-5 11:0.003430550577351416 12:5.844138670806717E-4 13:7.518960020221008E-6 14:1.9732169451325564E-5 15:1.2479998454751475E-5 16:1.1196513051025738E-5 17:1.4437733923570547E-5 18:1.4947783387782764E-5 19:4.665835565864456E-6 20:1.707858277035341E-5 21:1.5898115070611953E-5 22:2.6317749668708105E-5 23:1.5302592876580793E-5 24:1.951037257851905E-5 25:3.396568454461456E-4 26:2.8134093977539287E-5 27:1.0343547820970833E-5 28:1.913118944074585E-5 29:3.9581452995773967E-4 30:2.9677421552222712E-5 31:1.1492771772294872E-5 32:1.5560021071400782E-5 33:8.81294168315221E-4 34:3.62932953594051E-4 35:1.7700214486118194E-5 36:1.0901593133476993E-5 37:1.7234979192868222E-5 38:1.2670677931713954E-5 39:6.366503576712657E-5 40:1.2815530972816232E-5 41:1.1467960563913062E-5 42:2.2529149351386842E-5 43:8.211439564219741E-6 44:1.728952811973106E-5 45:1.3617241613234188E-5 46:1.4132131008802503E-5 47:2.5660112092622817E-5 48:1.8749734131754295E-5 49:3.8244427390034404E-4 50:1.1377511529760886E-5 51:1.2744446206353962E-5 52:1.0227672306661653E-5 53:1.1088532014375814E-5 54:1.9311696970251155E-4 55:6.746026000451657E-6 56:0.9831800596481965 57:1.2237441510678347E-5 58:0.0029615523836091827 59:1.392299960432746E-5 60:9.87941875919984E-6 61:6.320743913398422E-4 62:1.5248367766027874E-5 63:4.538997354822828E-6 64:8.792042339233634E-6 65:1.8610752433039028E-5 66:7.926148697330379E-6 67:2.9525878852447014E-5 68:1.368099554950194E-5 69:1.0422986794489434E-4 70:2.1013140358803102E-5 71:3.1560933559583097E-4 72:0.0031872578162117013 73:1.2510757249604527E-5 74:1.6384844020397132E-5 75:0.001012143673605926 76:7.47050148251301E-4 77:1.075997293443318E-5 78:1.2513840940182968E-5 79:1.2631905978233706E-5 80:1.1572963362543865E-5
CVE-2014-8439 1:6.925144284915523E-5 2:7.38728493302735E-5 3:6.1462871985471785E-6 4:7.103579825632505E-4 5:5.2564174623631165E-6 6:2.0732892148873694E-4 7:8.316454846720013E-6 8:4.575200296671412E-6 9:1.0916276799645974E-5 10:7.675730693646502E-6 11:5.919667764300709E-6 12:2.0584069402424616E-4 13:4.105461963430459E-6 14:9.994240202871861E-6 15:1.601493595863499E-5 16:6.148736418404814E-6 17:8.64302120916586E-6 18:8.574634683109963E-6 19:3.8632388866979116E-5 20:9.07561046085429E-6 21:0.0010476435138706876 22:1.3976250735376424E-5 23:1.0620343589213238E-5 24:9.453048535317391E-6 25:1.234542447269376E-4 26:1.5210989964574016E-5 27:5.836060779964565E-6 28:7.715007718661935E-6 29:6.629965604996993E-4 30:2.336827054613661E-5 31:6.4657118998114845E-6 32:2.1621220386588237E-4 33:6.2808205091603635E-6 34:5.7693492460616954E-6 35:0.12496165622119967 36:6.141445410954979E-6 37:1.3092407423174504E-5 38:9.11223833233253E-5 39:2.6035022318886655E-5 40:6.6798677864235334E-6 41:8.737051210861948E-6 42:1.2176138198599906E-5 43:4.516570185789274E-6 44:9.259593360794903E-6 45:4.238805008342234E-4 46:7.914932108359402E-6 47:1.3867626947027676E-5 48:9.75265562230808E-6 49:5.371699264392796E-6 50:1.331238245428339E-4 51:6.8717675258471505E-6 52:1.2850283886193266E-5 53:6.033189900972968E-6 54:6.898838251741978E-5 55:3.314823087299824E-6 56:2.1030077184878385E-4 57:6.560537438546845E-6 58:0.0010331491557433452 59:7.526317799359773E-6 60:4.225564051718313E-5 61:7.948075744185227E-6 62:8.075638020538421E-6 63:2.444640531441244E-6 64:7.254766310986434E-6 65:9.86779247085804E-6 66:5.024375458038022E-5 67:0.1233944559673726 68:8.284656932147363E-6 69:1.0987548471791056E-5 70:1.1653037180403055E-5 71:7.963109925615316E-6 72:0.7447233370798919 73:6.745384803319338E-6 74:7.60264684031106E-6 75:2.846165551343255E-4 76:2.5812982479953104E-4 77:6.814037953391352E-6 78:5.700937539486016E-6 79:7.855412197237296E-5 80:4.064922819533762E-4
CVE-2014-6374 1:4.6108562244841255E-4 2:7.395440205270265E-4 3:8.303906107906963E-4 4:0.001208765819656862 5:9.220298440077064E-4 6:5.616284183673527E-4 7:0.0013387688274818577 8:5.717819031537042E-4 9:0.0010225699751118904 10:0.00117905045131196 11:7.855107510778136E-4 12:5.200927665499615E-4 13:4.922053185363865E-4 14:8.53594408392669E-4 15:9.516210021154997E-4 16:6.961197815488632E-4 17:0.0010930166190954477 18:0.0011862678105490103 19:2.808242760051218E-4 20:0.0014814298578052446 21:0.0012699704044953429 22:0.0033094198997255958 23:0.0012155280719184584 24:6.979938996586852E-4 25:0.001370969419530712 26:0.005180790984691071 27:7.434304793178374E-4 28:3.0290769865331277E-4 29:0.0010679013491353135 30:0.0011083122737602768 31:8.046979866362708E-4 32:0.26332463812157536 33:8.593781116745209E-4 34:5.281567616340038E-4 35:0.0015961400243397188 36:6.946777923198227E-4 37:0.0014889552741547442 38:8.229444688833732E-4 39:0.0011421497621212843 40:9.001138465861041E-4 41:8.084053343311253E-4 42:0.2914821692123905 43:5.444066979258319E-4 44:0.0015069863086303664 45:5.838123813012409E-4 46:0.0011187401757678762 47:0.36337684017961636 48:0.0016518946191827213 49:6.686948885981821E-4 50:8.322003708579036E-4 51:9.972973706279503E-4 52:6.424533726481132E-4 53:8.161672591385902E-4 54:4.894000759616674E-4 55:3.8156002218571266E-4 56:4.1328472411058685E-4 57:9.159113907564836E-4 58:0.00202495804134499 59:0.001129260748940691 60:6.664388505974011E-4 61:0.001094032279175604 62:0.0010825127992647161 63:2.72832887993745E-4 64:5.748588636919731E-4 65:0.0014178801999569603 66:4.033977458860905E-4 67:0.004424488473592206 68:0.0011125042805389567 69:8.613327477497515E-4 70:0.002302844453322377 71:0.0012013819002902936 72:0.0010280870785295574 73:9.706910956260367E-4 74:0.0011209369955183747 75:0.0012404098711629535 76:0.0011613950508887955 77:6.880555031521137E-4 78:7.117614562525186E-4 79:8.384485761209014E-4 80:8.358910010266133E-4
CVE-2014-6366 1:4.6108562244841255E-4 2:7.395440205270265E-4 3:8.303906107906963E-4 4:0.001208765819656862 5:9.220298440077064E-4 6:5.616284183673527E-4 7:0.0013387688274818577 8:5.717819031537042E-4 9:0.0010225699751118904 10:0.00117905045131196 11:7.855107510778136E-4 12:5.200927665499615E-4 13:4.922053185363865E-4 14:8.53594408392669E-4 15:9.516210021154997E-4 16:6.961197815488632E-4 17:0.0010930166190954477 18:0.0011862678105490103 19:2.808242760051218E-4 20:0.0014814298578052446 21:0.0012699704044953429 22:0.0033094198997255958 23:0.0012155280719184584 24:6.979938996586852E-4 25:0.001370969419530712 26:0.005180790984691071 27:7.434304793178374E-4 28:3.0290769865331277E-4 29:0.0010679013491353135 30:0.0011083122737602768 31:8.046979866362708E-4 32:0.26332463812157536 33:8.593781116745209E-4 34:5.281567616340038E-4 35:0.0015961400243397188 36:6.946777923198227E-4 37:0.0014889552741547442 38:8.229444688833732E-4 39:0.0011421497621212843 40:9.001138465861041E-4 41:8.084053343311253E-4 42:0.2914821692123905 43:5.444066979258319E-4 44:0.0015069863086303664 45:5.838123813012409E-4 46:0.0011187401757678762 47:0.36337684017961636 48:0.0016518946191827213 49:6.686948885981821E-4 50:8.322003708579036E-4 51:9.972973706279503E-4 52:6.424533726481132E-4 53:8.161672591385902E-4 54:4.894000759616674E-4 55:3.8156002218571266E-4 56:4.1328472411058685E-4 57:9.159113907564836E-4 58:0.00202495804134499 59:0.001129260748940691 60:6.664388505974011E-4 61:0.001094032279175604 62:0.0010825127992647161 63:2.72832887993745E-4 64:5.748588636919731E-4 65:0.0014178801999569603 66:4.033977458860905E-4 67:0.004424488473592206 68:0.0011125042805389567 69:8.613327477497515E-4 70:0.002302844453322377 71:0.0012013819002902936 72:0.0010280870785295574 73:9.706910956260367E-4 74:0.0011209369955183747 75:0.0012404098711629535 76:0.0011613950508887955 77:6.880555031521137E-4 78:7.117614562525186E-4 79:8.384485761209014E-4 80:8.358910010266133E-4
CVE-2014-6330 1:4.6108562244841255E-4 2:7.395440205270265E-4 3:8.303906107906963E-4 4:0.001208765819656862 5:9.220298440077064E-4 6:5.616284183673527E-4 7:0.0013387688274818577 8:5.717819031537042E-4 9:0.0010225699751118904 10:0.00117905045131196 11:7.855107510778136E-4 12:5.200927665499615E-4 13:4.922053185363865E-4 14:8.53594408392669E-4 15:9.516210021154997E-4 16:6.961197815488632E-4 17:0.0010930166190954477 18:0.0011862678105490103 19:2.808242760051218E-4 20:0.0014814298578052446 21:0.0012699704044953429 22:0.0033094198997255958 23:0.0012155280719184584 24:6.979938996586852E-4 25:0.001370969419530712 26:0.005180790984691071 27:7.434304793178374E-4 28:3.0290769865331277E-4 29:0.0010679013491353135 30:0.0011083122737602768 31:8.046979866362708E-4 32:0.26332463812157536 33:8.593781116745209E-4 34:5.281567616340038E-4 35:0.0015961400243397188 36:6.946777923198227E-4 37:0.0014889552741547442 38:8.229444688833732E-4 39:0.0011421497621212843 40:9.001138465861041E-4 41:8.084053343311253E-4 42:0.2914821692123905 43:5.444066979258319E-4 44:0.0015069863086303664 45:5.838123813012409E-4 46:0.0011187401757678762 47:0.36337684017961636 48:0.0016518946191827213 49:6.686948885981821E-4 50:8.322003708579036E-4 51:9.972973706279503E-4 52:6.424533726481132E-4 53:8.161672591385902E-4 54:4.894000759616674E-4 55:3.8156002218571266E-4 56:4.1328472411058685E-4 57:9.159113907564836E-4 58:0.00202495804134499 59:0.001129260748940691 60:6.664388505974011E-4 61:0.001094032279175604 62:0.0010825127992647161 63:2.72832887993745E-4 64:5.748588636919731E-4 65:0.0014178801999569603 66:4.033977458860905E-4 67:0.004424488473592206 68:0.0011125042805389567 69:8.613327477497515E-4 70:0.002302844453322377 71:0.0012013819002902936 72:0.0010280870785295574 73:9.706910956260367E-4 74:0.0011209369955183747 75:0.0012404098711629535 76:0.0011613950508887955 77:6.880555031521137E-4 78:7.117614562525186E-4 79:8.384485761209014E-4 80:8.358910010266133E-4
CVE-2014-6329 1:8.037621036475875E-4 2:0.0012785111409438566 3:0.0014317055618403576 4:0.0020610231598227106 5:0.0011268585869199106 6:9.747365879553008E-4 7:0.0022741134772709735 8:9.934345043656652E-4 9:0.0017528256387333307 10:0.0020121301298234836 11:0.0013560307092444013 12:8.962730078856857E-4 13:8.57211506572337E-4 14:0.0014707040119977947 15:0.0016331275139523187 16:0.001204923889909719 17:0.0018699929057187118 18:0.002024019709260787 19:4.921756229796554E-4 20:0.0025060927593305925 21:0.0021612418748317877 22:0.0053227596895448065 23:0.0020721683186886095 24:0.001208169676849258 25:0.0023217166530725836 26:0.007950234363305445 27:0.0012850819002475132 28:5.30542402670388E-4 29:0.0018125017636519654 30:0.0018952888843915704 31:0.001387946455678891 32:0.007505239932533169 33:0.0014804062747311379 34:9.187351491335831E-4 35:0.002691251334812146 36:0.001202102161564611 37:0.002518246691780111 38:0.0014191784694545493 39:0.0019512575704021663 40:0.001548726871711982 41:0.0013946962355731768 42:0.04188704225735325 43:9.466454249344114E-4 44:0.0025474521214511863 45:0.0010139652248980825 46:0.001912140835636039 47:0.8130148049411497 48:0.0027808230792150707 49:0.001158464125547076 50:0.001434749922539588 51:0.0017110376525239202 52:0.00111387196703035 53:0.0014077629056203174 54:8.521086190930218E-4 55:6.667229806425418E-4 56:7.214676977593405E-4 57:0.0015751728763491446 58:0.003372901459182618 59:0.0019299622657825437 60:0.0011546332979026268 61:0.0018716837622777124 62:0.001852469396704507 63:4.7829954029500525E-4 64:9.98688133466999E-4 65:0.0024029897580826317 66:7.044192938362903E-4 67:0.006915547658829939 68:0.001889204304835546 69:0.001483698019107356 70:0.003806165967220682 71:0.0020489045368036643 72:0.0017621222007699509 73:0.0016666931899980305 74:0.001916202717380206 75:0.0021128553770199043 76:0.001983021471522241 77:0.001191215013152769 78:0.001230925158907158 79:0.001445065514934739 80:0.0014409541274391984
CVE-2014-4111 1:5.307343348567935E-7 2:7.676612725085846E-7 3:8.352616859682064E-7 4:1.0772193514195626E-6 5:6.957683283483643E-7 6:6.212872487119292E-7 7:1.148215718915785E-6 8:6.308152761853715E-7 9:9.653012861818162E-7 10:1.060225697368487E-6 11:8.023512026618214E-7 12:5.805043677460944E-7 13:5.597323769875734E-7 14:8.518668520151557E-7 15:9.185543823315573E-7 16:7.337745884699515E-7 17:1.0092273853885538E-6 18:1.0643833816082659E-6 19:3.4783210666841956E-7 20:1.2202669604964477E-6 21:1.1112149516822513E-6 22:1.8119657554517684E-6 23:1.081054994630065E-6 24:7.352896377783508E-7 25:1.16341445874768E-6 26:2.1143289770692253E-6 27:7.706411198436045E-7 28:3.7172568783475534E-7 29:9.878569241070323E-7 30:1.0184820678294737E-6 31:8.163423971830946E-7 32:1.1367340061634536E-6 33:8.559612748003878E-7 34:5.923259733825113E-7 35:1.2742340967143129E-6 36:7.324551842949068E-7 37:1.2239022813780005E-6 38:8.298774073917642E-7 39:1.0386810645066987E-6 40:8.843890573310068E-7 41:8.192819321923138E-7 42:1.6821551422148962E-6 43:6.068439305164028E-7 44:1.2325823094325733E-6 45:6.411920155163113E-7 46:1.0246029424463904E-6 47:7.844719286374908E-5 48:1.2992882325734183E-6 49:7.118819717249948E-7 50:8.365664124569044E-7 51:9.492073494077099E-7 52:6.904943179043211E-7 53:8.249485644573447E-7 54:5.569911336224587E-7 55:4.533286437818016E-7 56:4.847942358205721E-7 57:8.952065713351026E-7 58:1.449808821187103E-6 59:1.0310403449918715E-6 60:7.100591149072786E-7 61:1.0098485356926536E-6 62:1.0027690882284385E-6 63:0.9998486405611904 64:6.334790692326532E-7 65:1.1888815021717071E-6 66:4.7507447534346446E-7 67:2.0126519226769984E-6 68:1.016230629132001E-6 69:8.573471746108476E-7 70:1.5456804145152126E-6 71:1.0730327611439417E-6 72:9.688552996848536E-7 73:9.318657048108939E-7 74:1.026068009415283E-6 75:1.0949396158606472E-6 76:1.049977677143766E-6 77:7.273553040889547E-7 78:7.458559543566824E-7 79:8.409764963389476E-7 80:8.392212021816652E-7
